internship,company_name,skills,perks,location,duration,stipend,applicants,ifSkillsorPerksMissingUseThis
Software Testing,Putatoe Technologies Private Limited,"Python, Software Testing, Manual Testing, REST API, Database Testing","Certificate, Letter of recommendation, Flexible work hours",Work From Home,6 Months,1000-3000 /month,83 applicants,"Python
Software Testing
Manual Testing
REST API
Database Testing, Certificate
Letter of recommendation
Flexible work hours"
Mobile App Development,JobsDuniya,ReactJS,Certificate,Delhi,3 Months,10000 /month,34 applicants,"ReactJS, Certificate"
Web Development,International School Of Design,"HTML, JavaScript, WordPress, UI & UX Design","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,6 Months,7000 /month,26 applicants,"HTML
JavaScript
WordPress
UI & UX Design, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Software Development (IoT),Neoastra Systems India Private Limited,"Java, OpenCV, Python, Arduino, C Programming, C++ Programming, Internet of Things (IoT), Swift",,Bangalore,6 Months,10000 /month,186 applicants,"Java
OpenCV
Python
Arduino
C Programming
C++ Programming
Internet of Things (IoT)
Swift, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
5 days a week
Job offer"
iOS Development,Cliffex Software Solutions,,,Noida,3 Months,7500 /month,Be an early applicant,5 days a week
Embedded Programming,Zeptogreens Autonetics Private Limited,,,Hyderabad,3 Months,7000-9000 /month,86 applicants,
Web Development,Prescient Systems Private Limited,"MongoDB, Express.js, TypeScript, Angular 7.0","Letter of recommendation, Job offer",Navi Mumbai,3 Months,7000-10000 /month,34 applicants,"MongoDB
Express.js
TypeScript
Angular 7.0, Letter of recommendation
Job offer"
Mobile App Development,Givni Private Limited,"JavaScript, Android",Certificate,Patna,2 Months,8000 /month,Be an early applicant,"JavaScript
Android, Certificate"
Mobile App Development,PNK Company,"Java, Android, Kotlin","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,3 Months,8000 /month,Be an early applicant,"Java
Android
Kotlin, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Web Development,Perfect9 - At Home Salon,"Java, HTML, CSS, JavaScript",,Work From Home,2 Months,1000 /month,90 applicants,"Java
HTML
CSS
JavaScript, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Functional Product Consulting,Analytic Edge,"MS-Excel, Product Management",,Work From Home,3 Months,15000 /month,125 applicants,"MS-Excel
Product Management, Certificate
Letter of recommendation
5 days a week"
Android & IOS Testing,PNK Company,"Software Testing, Manual Testing, GUI Testing",,Work From Home,6 Months,4000 /month,64 applicants,"Software Testing
Manual Testing
GUI Testing, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Web Development,Morfsys,"GitHub, MEAN/MERN Stack","Certificate, Flexible work hours, 5 days a week",Work From Home,5 Months,7000-14000 /month,31 applicants,"GitHub
MEAN/MERN Stack, Certificate
Flexible work hours
5 days a week"
Web Development,Morfsys,"GitHub, MEAN/MERN Stack","Certificate, Flexible work hours, 5 days a week",Work From Home,5 Months,7000-14000 /month,31 applicants,"GitHub
MEAN/MERN Stack, Certificate
Flexible work hours
5 days a week"
Android & IOS Testing,PNK Company,"Software Testing, Manual Testing, GUI Testing",,Work From Home,6 Months,4000 /month,64 applicants,"Software Testing
Manual Testing
GUI Testing, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Web Development,Morfsys,"GitHub, MEAN/MERN Stack","Certificate, Flexible work hours, 5 days a week",Work From Home,5 Months,7000-14000 /month,31 applicants,"GitHub
MEAN/MERN Stack, Certificate
Flexible work hours
5 days a week"
Android Development,Inborn Studio,"Java, Android, Kotlin","Certificate, Letter of recommendation",Surat,3 Months,2000 /month,Be an early applicant,"Java
Android
Kotlin, Certificate
Letter of recommendation"
Web Development,Growlance Technologies LLP,"JavaScript, Node.js, Express.js, Firebase",,Work From Home,3 Months,8000 /month + Incentives,26 applicants,"JavaScript
Node.js
Express.js
Firebase, Certificate
Letter of recommendation
Flexible work hours"
Web Development,Princeton Academy,"PHP, HTML, CSS, Project Management, WordPress",,Mumbai,3 Months,7000 /month,51 applicants,"PHP
HTML
CSS
Project Management
WordPress, Certificate
Letter of recommendation
Job offer"
Software Development,GRT Global Logistics Private Limited,"Java, HTML, CSS, JavaScript, jQuery, Bootstrap, MS SQL Server, Hibernate (Java), Angular 7.0",,"Pune, Mumbai",6 Months,5000 /month,64 applicants,"Java
HTML
CSS
JavaScript
jQuery
Bootstrap
MS SQL Server
Hibernate (Java)
Angular 7.0"
Web Development,Inventive Cafe India Private Limited,,,Work From Home,3 Months,1000 /month,Be an early applicant,"Certificate
Letter of recommendation
Flexible work hours"
Web Development,Vedak,"Node.js, React Native, ReactJS","Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer",Bangalore,3 Months,7000 /month,35 applicants,"Node.js
React Native
ReactJS, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
Job offer"
WordPress Development,The Urban StartUp,,,Noida,3 Months,8000 /month,Be an early applicant,Certificate
Python & JavaScript Development,HEU Technologies Private Limited,"JavaScript, Python, REST API","Certificate, Letter of recommendation, Flexible work hours",Work From Home,6 Months,10000 /month,55 applicants,"JavaScript
Python
REST API, Certificate
Letter of recommendation
Flexible work hours"
Full Stack Development,Intesome,"PHP, MySQL, HTML, CSS, Python, MongoDB, AngularJS, Node.js, MS SQL Server, GitHub",,Work From Home,6 Months,5000-10000 /month,29 applicants,"PHP
MySQL
HTML
CSS
Python
MongoDB
AngularJS
Node.js
MS SQL Server
GitHub, Certificate"
Software Development,Enable Careers,,,Work From Home,3 Months,10000 /month,133 applicants,"Certificate
Letter of recommendation"
PHP Development,Redcube Digital Media Private Limited,"PHP, MySQL, JavaScript","Certificate, Informal dress code",Delhi,3 Months,2000 /month,Be an early applicant,"PHP
MySQL
JavaScript, Certificate
Informal dress code"
WordPress Development,Sapio Analytics,WordPress,"Certificate, Flexible work hours, 5 days a week",Work From Home,3 Months,1000 /month,26 applicants,"WordPress, Certificate
Flexible work hours
5 days a week"
Product Management,Vedak,"Product Management, Product Lifecycle Management(PLM)","Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer",Bangalore,3 Months,7000 /month,34 applicants,"Product Management
Product Lifecycle Management(PLM), Certificate
Letter of recommendation
Flexible work hours
Informal dress code
Job offer"
Web Development,Masko,"HTML, CSS, MongoDB, Node.js, Express.js, ReactJS","Certificate, Letter of recommendation, Flexible work hours",Work From Home,6 Weeks,10000 lump sum,42 applicants,"HTML
CSS
MongoDB
Node.js
Express.js
ReactJS, Certificate
Letter of recommendation
Flexible work hours"
Technical Administration Assistance,Sykam Consultancy Services Private Limited,"Java, MS-Office, Python, .NET, MS-Word, MS-PowerPoint, MS-Excel, C Programming, C++ Programming, English Proficiency (Spoken), English Proficiency (Written)",,"Kakinada, East Godavari, Rajahmundry",4 Months,7000 /month,Be an early applicant,"Java
MS-Office
Python
.NET
MS-Word
MS-PowerPoint
MS-Excel
C Programming
C++ Programming
English Proficiency (Spoken)
English Proficiency (Written), Flexible work hours
Informal dress code
5 days a week
Free snacks & beverages
Job offer"
Web Game Development (JS And Matter.js),Toppr,,,Work From Home,2 Months,10000 lump sum,Be an early applicant,"Certificate
Letter of recommendation
Flexible work hours"
Web Development,Doorstepremedies,,,Work From Home,3 Months,5000 /month,Be an early applicant,"Certificate
Letter of recommendation"
MERN Stack Development,Unico Global,"MySQL, JavaScript, MongoDB, Node.js, GitHub, Express.js, React Native, ReactJS, Heroku, Firebase, Firebase Cloud Messaging, Amazon Web Server (AWS), MEAN/MERN Stack","Certificate, Letter of recommendation, Flexible work hours, Job offer",Mumbai,3 Months,3000-8000 /month,Be an early applicant,"MySQL
JavaScript
MongoDB
Node.js
GitHub
Express.js
React Native
ReactJS
Heroku
Firebase
Firebase Cloud Messaging
Amazon Web Server (AWS)
MEAN/MERN Stack, Certificate
Letter of recommendation
Flexible work hours
Job offer"
Mobile App Development,Vedak,"Windows Mobile Application Development, Android","Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer",Bangalore,3 Months,7000 /month,Be an early applicant,"Windows Mobile Application Development
Android, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
Job offer"
Mobile App Development,Klen,,,Work From Home,2 Months,7000 /month,45 applicants,"Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Web Development,Lincode Labs Private Limited,"JavaScript, ReactJS",,Work From Home,6 Months,15000 /month,47 applicants,"JavaScript
ReactJS, Certificate
Flexible work hours"
Mobile App Development,Ingro International,"PHP, JavaScript, Bootstrap, iOS, Android","Certificate, Letter of recommendation, Flexible work hours",Work From Home,6 Months,3000 /month,Be an early applicant,"PHP
JavaScript
Bootstrap
iOS
Android, Certificate
Letter of recommendation
Flexible work hours"
Teaching (Python),Tekie,"Python, English Proficiency (Spoken)",Certificate,Work From Home,3 Months,8000-10000 /month,171 applicants,"Python
English Proficiency (Spoken), Certificate"
Flutter Development,PlacidVision,"Flutter, iOS, Android","Certificate, Letter of recommendation",Bangalore,4 Months,5000 /month,Be an early applicant,"Flutter
iOS
Android, Certificate
Letter of recommendation"
ReactJS Development (API Integration),CogniAble,"HTML, CSS, ReactJS, Redux",,Work From Home,6 Months,10000 /month,41 applicants,"HTML
CSS
ReactJS
Redux"
Magento Development,Ace Skill Development Private Limited,"PHP, Magento",,Chennai,3 Months,12500 /month,Be an early applicant,"PHP
Magento, Certificate
Letter of recommendation"
Mobile App Development,Eryson Handel Private Limited,"Flutter, REST API, Dart, Adobe XD, Firebase, Figma","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,3 Months,8000-12000 /month,Be an early applicant,"Flutter
REST API
Dart
Adobe XD
Firebase
Figma, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Java Development,IoTech Design Private Limited,"Java, Algorithms, Data Structures, Hibernate (Java), NoSQL, Microsoft Azure, Amazon Web Server (AWS), CI/CD, Git Bash",,"Delhi, Ghaziabad, Greater Noida, Noida",6 Months,15000 /month,124 applicants,"Java
Algorithms
Data Structures
Hibernate (Java)
NoSQL
Microsoft Azure
Amazon Web Server (AWS)
CI/CD
Git Bash"
Back-End Development (Node.js),Think Gestalt,Node.js,"Certificate, Letter of recommendation",Mumbai,3 Months,6000-8000 /month,36 applicants,"Node.js, Certificate
Letter of recommendation"
React Native Development,CogniAble,"HTML, CSS, React Native, Redux",,Work From Home,6 Months,10000 /month,Be an early applicant,"HTML
CSS
React Native
Redux"
Node.js Development,Ideamagix,,,"Thane, Mumbai",6 Months,6000 /month,Be an early applicant,
Web Development,KidZoo,ReactJS,"Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,2 Months,5000-10000 /month,48 applicants,"ReactJS, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Technical Support,RS Solutions,"Computer Networking, Software Testing, MS SQL Server","Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",Navi Mumbai,6 Months,10000 /month,Be an early applicant,"Computer Networking
Software Testing
MS SQL Server, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
Free snacks & beverages"
Android App Development,Aakarist Private Limited,"Java, SQL, XML, Android",Certificate,Faridabad,6 Months,5000 /month,Be an early applicant,"Java
SQL
XML
Android, Certificate"
Web Development,NoeticMinds Consulting,"PHP, Adobe Photoshop, Google Analytics, WordPress, Search Engine Optimization (SEO), Facebook Marketing, CMS, Web Application Security, Amazon Web Server (AWS)","Certificate, Letter of recommendation, Flexible work hours",Work From Home,3 Months,5500 /month,Be an early applicant,"PHP
Adobe Photoshop
Google Analytics
WordPress
Search Engine Optimization (SEO)
Facebook Marketing
CMS
Web Application Security
Amazon Web Server (AWS), Certificate
Letter of recommendation
Flexible work hours"
Google Sheet Query Writing & Dashboard Creation,Mirus Solutions Private Limited,,,Work From Home,1 Month,1000 /month,35 applicants,"Certificate
Letter of recommendation
Flexible work hours
5 days a week"
WordPress Development,YBox Media LLP,WordPress,"Certificate, Letter of recommendation, Flexible work hours",Work From Home,1 Month,3000-5000 /month,95 applicants,"WordPress, Certificate
Letter of recommendation
Flexible work hours"
Web Development,Thinkverse,"HTML, CSS, JavaScript, Django","Certificate, Letter of recommendation, Flexible work hours",Work From Home,1 Month,5000 /month,212 applicants,"HTML
CSS
JavaScript
Django, Certificate
Letter of recommendation
Flexible work hours"
Web Development,Thinkverse,"HTML, CSS, JavaScript, Django","Certificate, Letter of recommendation, Flexible work hours",Work From Home,1 Month,5000 /month,212 applicants,"HTML
CSS
JavaScript
Django, Certificate
Letter of recommendation
Flexible work hours"
React Development,Rooter Sports Technology Private Limited,"HTML, CSS, JavaScript, ReactJS",,Work From Home,6 Months,10000-20000 /month,76 applicants,"HTML
CSS
JavaScript
ReactJS, 5 days a week"
Mobile App Development,Phaico,"Java, MySQL, Flutter, REST API, Android, Kotlin",,Work From Home,3 Months,3000-8000 /month,Be an early applicant,"Java
MySQL
Flutter
REST API
Android
Kotlin, Certificate
Letter of recommendation
5 days a week"
Web Development,My Big Brand Story,"Java, PHP, WordPress, CMS",,Work From Home,3 Months,7000 /month,Be an early applicant,"Java
PHP
WordPress
CMS, Certificate
Letter of recommendation"
Internet Of Things (IoT),UniConverge Technologies Private Limited,"Embedded Systems, C Programming","Certificate, Letter of recommendation, Job offer",Noida,2 Months,2000 /month,33 applicants,"Embedded Systems
C Programming, Certificate
Letter of recommendation
Job offer"
Android App Development,Stackgeeks Labs,"Java, HTML, CSS","Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer","Chandigarh, Mohali, Zirakpur, Punjab Small Industries Corporation (Pakistan)",6 Months,5000-8000 /month,Be an early applicant,"Java
HTML
CSS, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
Job offer"
Data Analytics,Dynapt.ai,,"Certificate, Letter of recommendation, Flexible work hours",Work From Home,6 Months,5000 /month,324 applicants,"Certificate
Letter of recommendation
Flexible work hours"
Web Development,Black Boy Entertainment Lab,"Java, PHP, HTML, JavaScript, WordPress, Meteor JS Framework, Windows Mobile Application Development, Bootstrap, Search Engine Optimization (SEO), C Programming, JSON, C++ Programming, ReactJS, Mojolicious MVC Web Framework, Angular 7.0","Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer","Ahmedabad, Rajkot, Surat, Vadodara, Vadodra, Gandhinagar",3 Months,3000-8000 /month,26 applicants,"Java
PHP
HTML
JavaScript
WordPress
Meteor JS Framework
Windows Mobile Application Development
Bootstrap
Search Engine Optimization (SEO)
C Programming
JSON
C++ Programming
ReactJS
Mojolicious MVC Web Framework
Angular 7.0, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
Job offer"
